Column,Best_Model
Asphalt,LinearRegression
Bricks,ARIMA
Concrete,RandomForestRegressor
Plaster,KNeighborsRegressor
Soil and natural materials,DecisionTreeRegressor
Container glass,Lasso
Other glass,LinearRegression
Aluminium,Lasso
Ferrous,LinearRegression
Other metals,SVR
Food organics,LinearRegression
Garden organics,ARIMA
Other organics,RandomForestRegressor
Wood /timber,SVR
Cardboard,KNeighborsRegressor
Newsprint and magazines,KNeighborsRegressor
Other paper,RandomForestRegressor
Printing and writing paper,Lasso
Clothing,RandomForestRegressor
Other textiles,ARIMA
Other rubber,Lasso
Passenger tyres,Lasso
Truck tyres,SVR
Rubble,LinearRegression
Liquidpaperboard,GradientBoostingRegressor
Offroad tyres,KNeighborsRegressor
HDPE (2),Lasso
LDPE (4),SVR
Other plastics (7),SVR
PET (1),GradientBoostingRegressor
PP (5),KNeighborsRegressor
PS (6),RandomForestRegressor
PVC (3),Lasso
