wpm_material_name,Asphalt,Bricks,Concrete,Plaster,Soil and natural materials,Container glass,Other glass,Aluminium,Ferrous,Other metals,Food organics,Garden organics,Other organics,Wood /timber,Cardboard,Newsprint and magazines,Other paper,Printing and writing paper,Clothing,Other textiles,Other rubber,Passenger tyres,Truck tyres,Rubble,Liquidpaperboard,Offroad tyres,HDPE (2),LDPE (4),Other plastics (7),PET (1),PP (5),PS (6),PVC (3)
2006,138923,385214,1733505,27290,628011,142617,25000,37949,784992,20822,25796,276293,28597,84001,408814,175611,10004,224926,5000,900,2586,9970,13777,0,0,0,0,0,0,0,0,0,0
2007,189520,437843,1695308,22300,743697,187955,14058,22067,937397,64851,48583,339358,0,179412,366919,93801,136367,56355,0,2320,0,13632,9633,81433,1200,2768,0,0,0,0,0,0,0
2008,151965,293128,1717318,33475,742793,162320,11249,16596,772972.48,270427,28888,311059,7917,121329.9,379546.38,85782,163881,89265,0,507.6,0,6898,8088,102874,1208,9767,0,0,0,0,0,0,0
2009,225802,243616,1712831,37259,826100,166649,19251,16629,826264.08,52857,12546,326833,44624,157544.9,449376.98,347025,26130,3413,0,1209.6,0,13920,7908,109068,37776,9724,0,0,0,0,0,0,0
2010,196305,518366,2438898,27205,560951,137049,19068,5500,941584.32,105352,31971,384117,87654,162923.6,192303.92,65453,545156,981,500,678.4,0,12146,13534,81740,0,10070,0,0,0,0,0,0,0
2011,223478,497273,2174906,32234,1098835,176954,18547,29481,919892.32,71159,22368,421802,27093,106958.6,211481.92,27000,589959,8297,500,678.4,0,13496,14006,167101,0,10320,0,0,0,0,0,0,0
2012,228916,350222,1828873,34058,816521,178608,16420,4898,948913.2,99624,30696,499978,184812,112536,277662.2,9381,682321,49936,0,1184,8783,26858,0,243419,0,0,43845.75889,36971.2821,9347,28115.5272,20256.01088,6023.11572,4896.889215
2013,257835,369721,1984673,38838,839579,143480,23514,28800,896104.44,55207,42366,402313,127173,129429.7,635293.14,31040,84717,32593,0,822.8,8046,33120,0,494574,0,0,43700.14339,37413.2415,8920.05,28146.4488,23796.59452,6143.18488,3880.536911
2014,233206,366973,1964234,33208,711088,149169,14588,28735,918991.44,66317,66890,358882,140759,117953.7,621051.14,23743,123126,0,0,1742.8,7718,19987,0,264926,0,0,12906.94705,22333.52291,6948.66455,481.870404,17947.19575,2026.57352,1458.435405
2015,160128,330740,1738324,38062,727237,196075,175,28731,653195.98,246703,68418,411216,93890,193828.65,210298.13,7939,512779,146440,0,302.6,0,13804,13152,865157,0,1738,9987.131838,16738.718,1479.9185,1779.12362,17182.05184,190.634989,953.368211
2016,626587,426778,2373860,36868,100197,181754,0,36747,389451.08,640245,65972.47,452398.53,95920,203710.4,515963.48,30186,138211,173023,0,369.6,0,18880,21334,582540,0,2013,7288.491742,20607.21403,209.067565,0,10313.40614,4399.346896,518.431216
2017,757452,586157,2262965,34524,92277,142554,0,30270,613077.52,631564,32936.04,529191.96,87949,227405.6,485156.12,129382,146114,24293,0,682.4,0,18805,7880,346551,0,12745,9192.360922,35429.05712,5454.876994,365.594801,16905.89058,4107.149063,1646.709112
2018,439204,797410,2624038,35983,1058430,218376,0,0,550045,416388,37663.3,426821.7,235434,187632,513054,120541,38812,173752,0,0,0,25085,15581,552144,2569,1504,8901.17046,18711.27913,5777.530107,0,13850.09484,3661.121173,1379.385403
2019,978257,804650,2710460,30319,1300376,175668,4600,24692,754538,206587,58524.32,466551.68,159046,193094,553108,58171,125031,29099,250,250,0,17093,5527,491306,0,7420,14661.90141,20267.09272,9239.722617,2107.775238,15563.13966,4170.061137,2578.496289
2020,510291,1293321,3182354,32616,946601,296804,0,27629,721441,203069,76613.28,698228.52,148198,202195,402325,23725,132248,140854,0,32000,0,10263,14589,573506,0,7706,13248.72658,21942.0087,7355.473312,10337.55946,24868.35249,7051.816563,2936.905031
2021,939675,1024636,2673437,32641,1119490,334640,0,46112,750742,165900,96774.454,691777.73,413565,289438,304509,20977,254236,37824,0,33184,0,23287,12900,792341,0,6814,13871.39449,21400.47331,10836.80879,11445.38411,20095.80575,8376.407192,1657.737094
